provider_id,npi,entity_type,taxonomy_code,taxonomy_description,license_state,license_number,enumeration_date,last_update,npi_status,sole_proprietor,organization_name,organization_npi,enrolled_payers,medicare_enrolled,medicaid_enrolled,pecos_enrollment_date,opt_out_status
PRV0056,1230137874,Individual,208100000X,Physical Medicine & Rehabilitation,NC,NC57380,2011-03-29,2024-11-12,Active,N,Meridian Regional Medical Center,1987654321,Humana|Cigna|Blue Cross NC|Medicaid|Tricare|Medicare|Aetna|UnitedHealthcare,True,True,2017-07-10,False
PRV0057,1301302094,Individual,207P00000X,Emergency Medicine,NC,NC10408,2014-06-15,2024-09-15,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Tricare|Humana|Cigna|Aetna,True,False,2020-10-31,False
PRV0058,1149838139,Individual,207R00000X,Internal Medicine,NC,NC70792,2021-01-17,2024-04-08,Active,N,Meridian Regional Medical Center,1987654321,Tricare|Medicaid|Cigna|Humana|Aetna|Medicare|Blue Cross NC,True,True,2015-11-08,False
PRV0059,1993241955,Individual,207RC0000X,Cardiovascular Disease,NC,NC38738,2018-05-20,2024-06-09,Active,N,Meridian Regional Medical Center,1987654321,Tricare|Humana|Medicare|Medicaid|Blue Cross NC,True,True,2021-06-07,False
PRV0060,1838716285,Individual,207X00000X,Orthopaedic Surgery,NC,NC40937,2021-09-30,2024-11-23,Active,N,Meridian Regional Medical Center,1987654321,Blue Cross NC|Humana|Cigna|Aetna|UnitedHealthcare,False,False,,False
PRV0061,1188577347,Individual,208600000X,Surgery,NC,NC49002,2019-11-25,2024-01-13,Active,N,Meridian Regional Medical Center,1987654321,Tricare|UnitedHealthcare|Medicare|Aetna|Humana|Cigna,True,False,2016-09-12,False
PRV0062,1294663400,Individual,207Q00000X,Family Medicine,NC,NC15547,2012-11-22,2024-10-13,Active,N,Meridian Regional Medical Center,1987654321,Aetna|Tricare|Humana|Blue Cross NC|Medicaid|Cigna|UnitedHealthcare,False,True,,False
PRV0063,1420406394,Individual,207RP1001X,Pulmonary Disease,NC,NC11219,2012-09-27,2024-05-05,Active,N,Meridian Regional Medical Center,1987654321,Aetna|Medicaid|Medicare|Blue Cross NC|UnitedHealthcare|Humana,True,True,2022-04-28,False
PRV0064,1665083798,Individual,207RG0100X,Gastroenterology,NC,NC15657,2011-02-02,2024-07-28,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Medicaid|Blue Cross NC|Cigna|Aetna|UnitedHealthcare,True,True,2020-07-16,False
PRV0065,1753310097,Individual,207RX0202X,Medical Oncology,NC,NC26202,2013-01-04,2024-07-09,Active,N,Meridian Regional Medical Center,1987654321,Blue Cross NC|Medicare|UnitedHealthcare|Medicaid|Humana,True,True,2019-11-09,False
PRV0066,1921102022,Individual,2084N0400X,Neurology,NC,NC30280,2012-07-25,2024-11-28,Active,N,Meridian Regional Medical Center,1987654321,Aetna|UnitedHealthcare|Medicaid|Humana|Tricare,False,True,,False
PRV0067,1703962592,Individual,207V00000X,Obstetrics & Gynecology,NC,NC97879,2017-02-25,2024-09-21,Active,N,Meridian Regional Medical Center,1987654321,Cigna|Blue Cross NC|Medicaid|UnitedHealthcare|Aetna|Medicare|Humana|Tricare,True,True,2016-07-01,False
PRV0068,1833185515,Individual,2084P0800X,Psychiatry,NC,NC66605,2014-01-30,2024-07-06,Active,N,Meridian Regional Medical Center,1987654321,Tricare|UnitedHealthcare|Humana|Blue Cross NC|Medicare,True,False,2023-02-24,False
PRV0069,1779795357,Individual,2085R0202X,Diagnostic Radiology,NC,NC59497,2021-10-13,2024-07-29,Active,N,Meridian Regional Medical Center,1987654321,Medicare|Cigna|Medicaid|Blue Cross NC|Aetna|Humana|Tricare|UnitedHealthcare,True,True,2020-08-22,False
PRV0070,1830621022,Individual,208100000X,Physical Medicine & Rehabilitation,NC,NC45724,2014-07-03,2024-12-13,Active,N,Meridian Regional Medical Center,1987654321,UnitedHealthcare|Humana|Aetna|Medicaid|Tricare|Blue Cross NC|Cigna|Medicare,True,True,2022-11-04,False
PRV0071,1602981921,Individual,207P00000X,Emergency Medicine,NC,NC29347,2014-01-29,2024-02-03,Active,N,Meridian Regional Medical Center,1987654321,Humana|Cigna|Medicare|UnitedHealthcare|Blue Cross NC,True,False,2017-01-14,False
PRV0072,1145848892,Individual,207R00000X,Internal Medicine,NC,NC84963,2010-10-18,2024-09-15,Active,N,Meridian Regional Medical Center,1987654321,Medicare|UnitedHealthcare|Humana|Medicaid|Blue Cross NC,True,True,2017-02-12,False
PRV0073,1600767446,Individual,207RC0000X,Cardiovascular Disease,NC,NC82292,2014-04-14,2024-07-09,Active,N,Meridian Regional Medical Center,1987654321,Blue Cross NC|UnitedHealthcare|Aetna|Humana|Tricare,False,False,,False
PRV0074,1507862616,Individual,207X00000X,Orthopaedic Surgery,NC,NC49073,2020-07-03,2024-10-17,Active,N,Meridian Regional Medical Center,1987654321,Cigna|Blue Cross NC|Medicaid|UnitedHealthcare|Medicare|Tricare|Aetna|Humana,True,True,2017-05-18,False
PRV0075,1270418732,Individual,208600000X,Surgery,NC,NC31115,2021-06-03,2024-01-14,Active,N,Meridian Regional Medical Center,1987654321,Tricare|Humana|UnitedHealthcare|Blue Cross NC|Medicare|Medicaid|Aetna|Cigna,True,True,2021-01-25,False
PRV0076,1110561891,Individual,207Q00000X,Family Medicine,NC,NC34190,2014-05-24,2024-08-09,Active,N,Meridian Regional Medical Center,1987654321,Tricare|Cigna|UnitedHealthcare|Aetna|Blue Cross NC|Humana|Medicaid,False,True,,False
PRV0077,1458867549,Individual,207RP1001X,Pulmonary Disease,NC,NC95310,2014-09-08,2024-10-21,Active,N,Meridian Regional Medical Center,1987654321,Aetna|Medicaid|Tricare|UnitedHealthcare|Cigna,False,True,,False
PRV0078,1773677851,Individual,207RG0100X,Gastroenterology,NC,NC85193,2012-07-25,2024-09-22,Active,N,Meridian Regional Medical Center,1987654321,Medicaid|Blue Cross NC|UnitedHealthcare|Cigna|Aetna,False,True,,False
PRV0079,1532081793,Individual,207RX0202X,Medical Oncology,NC,NC41970,2020-10-26,2024-07-13,Deactivated,N,Meridian Regional Medical Center,1987654321,Blue Cross NC|Aetna|Medicare|UnitedHealthcare|Humana|Cigna|Tricare|Medicaid,True,True,2019-04-08,False
PRV0080,1183043649,Individual,2084N0400X,Neurology,NC,NC78206,2016-02-05,2024-12-02,Active,N,Meridian Regional Medical Center,1987654321,Cigna|Medicaid|Humana|Blue Cross NC|Tricare|Aetna|Medicare,True,True,2017-08-23,False
PRV0081,1192044871,Individual,207V00000X,Obstetrics & Gynecology,NC,NC67428,2016-03-27,2024-01-30,Active,N,Meridian Regional Medical Center,1987654321,Blue Cross NC|Humana|UnitedHealthcare|Tricare|Medicaid|Aetna|Medicare,True,True,2021-03-11,False
PRV0082,1248793089,Individual,2084P0800X,Psychiatry,NC,NC17713,2022-09-21,2024-11-09,Active,N,Meridian Regional Medical Center,1987654321,Medicaid|Cigna|Medicare|Aetna|Tricare,True,True,2022-02-05,False
PRV0083,1121772873,Individual,2085R0202X,Diagnostic Radiology,NC,NC82277,2019-05-03,2024-08-13,Deactivated,N,Meridian Regional Medical Center,1987654321,Humana|Blue Cross NC|Medicaid|Cigna|Aetna|Medicare|UnitedHealthcare,True,True,2019-08-18,False
PRV0084,1161381877,Individual,208100000X,Physical Medicine & Rehabilitation,NC,NC37388,2013-07-12,2024-03-09,Active,N,Meridian Regional Medical Center,1987654321,Aetna|Medicare|Medicaid|Blue Cross NC|UnitedHealthcare|Humana|Tricare|Cigna,True,True,2017-11-27,False
PRV0085,1471961521,Individual,207P00000X,Emergency Medicine,NC,NC44874,2015-09-07,2024-07-02,Deactivated,N,Meridian Regional Medical Center,1987654321,Cigna|Medicare|Humana|Tricare|UnitedHealthcare|Medicaid|Blue Cross NC|Aetna,True,True,2019-05-26,False
