provider_id,provider_name,npi,specialty,department_id,coding_accuracy_score,documentation_completeness_score,years_experience,status,credential
PROV043,Dr. Ashley Johnson,1402493178,General Surgery,DEPT05,0.939,0.922,24,Active,MD
PROV044,Dr. Steven Anderson,1325818222,OB/GYN,DEPT06,0.891,0.905,29,Active,MD
PROV045,Dr. Daniel Lee,1650648698,OB/GYN,DEPT06,0.913,0.862,20,Active,MD
PROV046,Dr. Susan Perez,1881010096,OB/GYN,DEPT06,0.893,0.914,11,Active,DO
PROV047,Dr. Thomas Hernandez,1141994280,OB/GYN,DEPT06,0.809,0.873,19,Active,DO
PROV048,Dr. Matthew Lopez,1262045032,OB/GYN,DEPT06,0.791,0.754,12,Active,DO
PROV049,Dr. Richard Garcia,1404361100,OB/GYN,DEPT06,0.949,0.872,7,Active,MD
PROV050,Dr. Steven Lee,1382829771,Radiology,DEPT07,0.863,0.845,23,Active,MD
PROV051,Dr. David Lopez,1114277896,Radiology,DEPT07,0.875,0.923,30,Active,MD
PROV052,Dr. Linda Hernandez,1755470273,Radiology,DEPT07,0.875,0.752,23,Active,DO
PROV053,Dr. Donald Miller,1236755185,Radiology,DEPT07,0.955,0.867,23,Active,DO
PROV054,Dr. Kimberly Gonzalez,1633201639,Radiology,DEPT07,0.875,0.801,3,Active,DO
PROV055,Dr. Emily Clark,1181420849,Radiology,DEPT07,0.981,0.957,26,Active,MD
PROV056,Dr. Betty Lee,1674989498,Pathology,DEPT08,0.958,0.766,30,Active,DO
PROV057,Dr. Kenneth Jackson,1610438254,Pathology,DEPT08,0.961,0.929,27,Active,DO
PROV058,Dr. Mark White,1985495542,Pathology,DEPT08,0.859,0.897,30,Active,MD
PROV059,Dr. Mary Davis,1663212837,Pathology,DEPT08,0.969,0.915,30,Active,DO
PROV060,Dr. William Harris,1262789677,Neurology,DEPT09,0.82,0.934,10,Active,MD
PROV061,Dr. Michael Hernandez,1274651181,Neurology,DEPT09,0.985,0.805,18,Active,DO
PROV062,Dr. John Jones,1994512668,Neurology,DEPT09,0.957,0.808,30,Active,DO
PROV063,Dr. Jennifer Taylor,1497440009,Neurology,DEPT09,0.897,0.775,10,Active,MD
PROV064,Dr. Joshua Taylor,1915241567,Neurology,DEPT09,0.893,0.852,26,Active,MD
PROV065,Dr. Robert Perez,1928382145,Pulmonology,DEPT10,0.81,0.95,10,Active,MD
PROV066,Dr. Dorothy Robinson,1360144124,Pulmonology,DEPT10,0.857,0.763,8,Active,DO
PROV067,Dr. John Jackson,1936399724,Pulmonology,DEPT10,0.806,0.768,25,Active,MD
PROV068,Dr. Joseph Smith,1912786430,Pulmonology,DEPT10,0.797,0.939,22,Active,DO
PROV069,Dr. Susan Lewis,1853057143,Oncology,DEPT11,0.822,0.858,15,Active,MD
PROV070,Dr. Mark Harris,1666952924,Oncology,DEPT11,0.938,0.87,28,Active,MD
PROV071,Dr. Jessica Lopez,1896329850,Oncology,DEPT11,0.821,0.86,24,Active,MD
PROV072,Dr. Sarah Wilson,1829527142,Oncology,DEPT11,0.971,0.805,15,Active,DO
PROV073,Dr. William Gonzalez,1504322692,Oncology,DEPT11,0.873,0.882,5,Active,DO
PROV074,Dr. Andrew Rodriguez,1759996574,Pediatrics,DEPT12,0.811,0.777,23,Active,DO
PROV075,Dr. Jennifer Lopez,1629998340,Pediatrics,DEPT12,0.806,0.794,18,Active,MD
PROV076,Dr. Dorothy Brown,1752030490,Pediatrics,DEPT12,0.907,0.857,26,Active,DO
PROV077,Dr. Donald Lewis,1622961604,Pediatrics,DEPT12,0.848,0.882,28,Active,MD
PROV078,Dr. Barbara Davis,1758723481,Pediatrics,DEPT12,0.946,0.963,2,Active,DO
PROV079,Dr. Paul Lopez,1147604015,Psychiatry,DEPT13,0.844,0.976,24,Active,DO
PROV080,Dr. Joseph Davis,1710209594,Psychiatry,DEPT13,0.916,0.883,22,Active,DO
PROV081,Dr. Matthew Taylor,1850106421,Psychiatry,DEPT13,0.798,0.901,30,Active,DO
PROV082,Dr. Lisa Smith,1763449652,Psychiatry,DEPT13,0.822,0.86,8,Active,DO
PROV083,Dr. Donald Wilson,1651832863,Physical Medicine,DEPT14,0.982,0.784,22,Active,DO
PROV084,Dr. Karen Rodriguez,1639390331,Physical Medicine,DEPT14,0.931,0.93,6,Active,MD
PROV085,Dr. Jennifer Moore,1777064719,Physical Medicine,DEPT14,0.896,0.886,17,Active,MD
